Novel Name,Chapter Left off on,Last Read Date,,,,
Struggling To Survive With Regression Powers,317,4/23/2026,,,,
The Demonic Cultivator In Zombie World,136,8/14/2025,,,,
My Cultivation Starting From Archery,441,8/14/2025,,,,
I Become A Martial Arts God In The Chaotic Demon World,362,8/14/2025,,,,
Record of a Demon's Cultivation,457,8/14/2025,,,,
Mountain Patrol Officer,48,8/14/2025,,,,
Super Divine Daoist Skill,363,2/3/2026,,,,
Wizard Start With Biological Transformation,60,8/14/2025,,,,
Longevity Martial Arts Starting From Inner Core Skill,76,8/14/2025,,,,
The Demon's Menu,90,8/14/2025,,,,
Cultivation Begins With Skill Points,87,8/14/2025,,,,
I Play The Horror World As A Simulation Game,158,8/14/2025,,,,
Longevity Martial Arts Grinding Experience In The Chaotic World,101,8/14/2025,,,,
Everybody is Kung Fu Fighting While I Started a Farm,-,-,,,,
It's Lonely To Be Invincible,-,-,,,,
An Experimental Log of the Crazy Lich,35,-,,,,
Black Tech,433,-,,,,
Cultivation Chat Group,933,-,,,,
Dark Moon Era,98,-,,,,
Godfall Chronicles,90,-,,,,
Gourmet of Another World,428,-,,,,
Great Doctor Ling Ran,42,-,,,,
Library of Heaven's Path,,-,,,,
My Extraordinary Life,112,-,,,,
Nightmare's Call,180,-,,,,
Nine Stars Hegemon Body,,-,,,,
Passive Cultivation: Becoming Buddha in a Demonic Sect,,-,,,,
Reverend Insanity,672,-,,,,
Sage Monarch,50,-,,,,
Summoning the Holy Sword,59,-,,,,
Super gene,90,-,,,,
Supreme Uprising,312,-,,,,
Tales of Herding Gods,21,-,,,,
Tempest of the Stellar Wars,35,-,,,,
The Brilliant Fighting Master,387,-,,,,
The First Evolution,,-,,,,
The First Order,205,-,,,,
The Legend of Futian,90,-,,,,
The Righteous Players,,-,,,,
Upgrade Specialist in Another World,283,-,,,,
Versatile Mage,38,-,,,,
Ascending The Heavens As An Evil God,561,,,,,
Battle Through The Heavens,,,,,,
Be the Hardest Working Demon Cultivator!,,,,,,
Comprehension Ability: Creating and Teaching the Dao,,,,,,
Deep Sea Embers,53,,,,,
Dimensional Codex System,71,,,,,
Drawing Cards With My Lifespan,94,,,,,
